Latitude,Longitude,Gravity_anomaly
77.625,17.0032,-14
77.6417,17.0032,-13.7
77.6583,17.0032,-13.2
77.675,17.0032,-12.5
77.6917,17.0032,-11.6
77.7083,17.0032,-10.8
77.725,17.0032,-10
77.7417,17.0032,-9.3
77.7583,17.0032,-8.7
77.775,17.0032,-8.2
77.7917,17.0032,-7.7
77.8083,17.0032,-7
77.825,17.0032,-6.1
77.8417,17.0032,-4.9
77.8583,17.0032,-3.2
77.875,17.0032,-1.1
77.8917,17.0032,1.1
77.9083,17.0032,3.2
77.925,17.0032,5.1
77.9417,17.0032,6.4
77.9583,17.0032,6.9
77.975,17.0032,6.7
77.9917,17.0032,5.9
78.0083,17.0032,4.5
78.025,17.0032,2.9
78.0417,17.0032,1.3
78.0583,17.0032,-0.1
78.075,17.0032,-1
78.0917,17.0032,-1.5
78.1083,17.0032,-1.5
78.125,17.0032,-1.3
78.1417,17.0032,-0.9
78.1583,17.0032,-0.5
78.175,17.0032,-0.1
78.1917,17.0032,0.1
78.2083,17.0032,0.3
74.4083,16.9873,-32.9
74.425,16.9873,-32.1
74.4417,16.9873,-31.3
74.4583,16.9873,-30.4
74.475,16.9873,-29.4
74.4917,16.9873,-28.3
74.5083,16.9873,-27.1
74.525,16.9873,-26
74.5417,16.9873,-25
74.5583,16.9873,-24
74.575,16.9873,-23.3
74.5917,16.9873,-22.6
74.6083,16.9873,-22
74.625,16.9873,-21.3
74.6417,16.9873,-20.3
74.6583,16.9873,-19.1
74.675,16.9873,-17.7
74.6917,16.9873,-16.1
74.7083,16.9873,-14.5
74.725,16.9873,-13
74.7417,16.9873,-11.9
74.7583,16.9873,-11.3
74.775,16.9873,-11.1
74.7917,16.9873,-11.4
74.8083,16.9873,-11.9
74.825,16.9873,-12.5
74.8417,16.9873,-13.1
74.8583,16.9873,-13.4
74.875,16.9873,-13.3
74.8917,16.9873,-13
74.9083,16.9873,-12.3
74.925,16.9873,-11.4
74.9417,16.9873,-10.4
74.9583,16.9873,-9.3
74.975,16.9873,-8.2
74.9917,16.9873,-7
75.0083,16.9873,-5.9
75.025,16.9873,-4.7
75.0417,16.9873,-3.5
75.0583,16.9873,-2.4
75.075,16.9873,-1.1
75.0917,16.9873,0.1
75.1083,16.9873,1.2
75.125,16.9873,2.3
75.1417,16.9873,3.4
75.1583,16.9873,4.4
75.175,16.9873,5.2
75.1917,16.9873,6
75.2083,16.9873,6.6
75.225,16.9873,6.9
75.2417,16.9873,6.9
75.2583,16.9873,6.6
75.275,16.9873,5.8
75.2917,16.9873,4.7
75.3083,16.9873,3.3
75.325,16.9873,1.8
75.3417,16.9873,0.1
75.3583,16.9873,-1.4
75.375,16.9873,-2.9
75.3917,16.9873,-4.1
75.4083,16.9873,-5.1
75.425,16.9873,-6.1
75.4417,16.9873,-6.9
75.4583,16.9873,-7.8
75.475,16.9873,-8.7
75.4917,16.9873,-9.6
75.5083,16.9873,-10.3
75.525,16.9873,-10.8
75.5417,16.9873,-11
75.5583,16.9873,-10.9
75.575,16.9873,-10.3
75.5917,16.9873,-9.6
75.6083,16.9873,-8.6
75.625,16.9873,-7.7
75.6417,16.9873,-7
75.6583,16.9873,-6.6
75.675,16.9873,-6.7
75.6917,16.9873,-7.1
75.7083,16.9873,-7.9
75.725,16.9873,-8.9
75.7417,16.9873,-10
75.7583,16.9873,-11.1
75.775,16.9873,-12.2
75.7917,16.9873,-13.2
75.8083,16.9873,-14.1
75.825,16.9873,-15
75.8417,16.9873,-15.8
75.8583,16.9873,-16.6
75.875,16.9873,-17.5
75.8917,16.9873,-18.3
75.9083,16.9873,-19
75.925,16.9873,-19.7
75.9417,16.9873,-20.3
75.9583,16.9873,-20.7
75.975,16.9873,-21.1
75.9917,16.9873,-21.3
76.0083,16.9873,-21.4
76.025,16.9873,-21.5
76.0417,16.9873,-21.4
76.0583,16.9873,-21.2
76.075,16.9873,-20.9
76.0917,16.9873,-20.4
76.1083,16.9873,-19.8
76.125,16.9873,-19.2
76.1417,16.9873,-18.5
76.1583,16.9873,-17.9
76.175,16.9873,-17.5
76.1917,16.9873,-17.2
76.2083,16.9873,-17.2
76.225,16.9873,-17.3
76.2417,16.9873,-17.5
76.2583,16.9873,-17.9
76.275,16.9873,-18.5
76.2917,16.9873,-19.1
76.3083,16.9873,-19.9
76.325,16.9873,-20.8
76.3417,16.9873,-21.9
76.3583,16.9873,-23
76.375,16.9873,-24.3
76.3917,16.9873,-25.6
76.4083,16.9873,-26.9
76.425,16.9873,-28.2
76.4417,16.9873,-29.3
76.4583,16.9873,-30.3
76.475,16.9873,-31.1
76.4917,16.9873,-31.9
76.5083,16.9873,-32.6
76.525,16.9873,-33.3
76.5417,16.9873,-33.9
76.5583,16.9873,-34.4
76.575,16.9873,-34.7
76.5917,16.9873,-34.9
76.6083,16.9873,-34.9
76.625,16.9873,-34.7
76.6417,16.9873,-34.5
76.6583,16.9873,-34.4
76.675,16.9873,-34.4
76.6917,16.9873,-34.7
76.7083,16.9873,-35.3
76.725,16.9873,-36.3
76.7417,16.9873,-37.4
76.7583,16.9873,-38.7
76.775,16.9873,-40
76.7917,16.9873,-41.1
76.8083,16.9873,-42.1
76.825,16.9873,-43
76.8417,16.9873,-43.8
76.8583,16.9873,-44.5
76.875,16.9873,-45.3
76.8917,16.9873,-46.2
76.9083,16.9873,-47
76.925,16.9873,-47.8
76.9417,16.9873,-48.2
76.9583,16.9873,-48.2
76.975,16.9873,-47.7
76.9917,16.9873,-46.5
77.0083,16.9873,-44.8
77.025,16.9873,-42.7
77.0417,16.9873,-40.2
77.0583,16.9873,-37.7
77.075,16.9873,-35.3
77.0917,16.9873,-33.1
77.1083,16.9873,-31.1
77.125,16.9873,-29.5
77.1417,16.9873,-28.1
77.1583,16.9873,-27
77.175,16.9873,-26.1
77.1917,16.9873,-25.4
77.2083,16.9873,-25.1
77.225,16.9873,-25.1
77.2417,16.9873,-25.4
77.2583,16.9873,-25.9
77.275,16.9873,-26.6
77.2917,16.9873,-27.1
77.3083,16.9873,-27.4
77.325,16.9873,-27.3
77.3417,16.9873,-26.5
77.3583,16.9873,-25.2
77.375,16.9873,-23.4
77.3917,16.9873,-21.2
77.4083,16.9873,-18.9
77.425,16.9873,-16.8
77.4417,16.9873,-15
77.4583,16.9873,-13.6
77.475,16.9873,-12.7
77.4917,16.9873,-12.3
77.5083,16.9873,-12.3
77.525,16.9873,-12.5
77.5417,16.9873,-12.9
77.5583,16.9873,-13.3
77.575,16.9873,-13.7
77.5917,16.9873,-14
77.6083,16.9873,-14.1
77.625,16.9873,-14.2
77.6417,16.9873,-14
77.6583,16.9873,-13.7
77.675,16.9873,-13.1
77.6917,16.9873,-12.4
77.7083,16.9873,-11.6
